fitness,param_sl_atr,param_adx_period,param_adx_threshold,param_volume_lookback,param_volume_mult,param_regime_lookback,param_use_volume_filter,param_use_trend_filter,param_use_regime_filter,htf_train_n_trades,htf_train_profit_factor,htf_train_win_rate,htf_train_trades_per_month,htf_train_avg_trade_pct,htf_train_total_return_pct,m1_train_n_trades,m1_train_profit_factor,m1_train_win_rate,m1_train_trades_per_month,m1_train_avg_trade_pct,m1_train_total_return_pct,pass,fail_reason
1.2549427213463784,4.5,16,35,40,1.8,25,False,True,True,171,1.2549427213463784,56.72514619883041,1.2264938737040527,0.0703181167122192,7.0256536688277125,171,1.3289403009318035,55.55555555555556,1.2264938737040527,0.05038868351731454,8.467437645811822,True,
1.245599651852281,5.0,16,35,15,1.0,50,False,True,True,183,1.245599651852281,57.377049180327866,1.3125636192271442,0.06959024711510871,6.815121366812152,183,1.2786023248898502,55.73770491803278,1.3125636192271442,0.0479472168058914,7.385699633612548,True,
1.2290569308432147,3.5,22,30,50,1.2,50,False,True,True,177,1.2290569308432147,56.49717514124294,1.2695287464655984,0.04930651220213803,9.118409319153306,177,1.285436977659986,55.932203389830505,1.2695287464655984,0.035969062379701745,10.857479561817815,True,
1.2263086120844382,4.0,14,35,15,1.7,45,False,True,True,233,1.2263086120844382,56.65236051502146,1.6711875589066918,0.06436841604219905,10.974362931361709,233,1.276976366467738,55.36480686695279,1.6711875589066918,0.05230965787235484,12.90379683915545,True,
1.2167887066805159,4.0,22,20,15,1.9,50,False,True,True,481,1.2167887066805159,56.34095634095634,3.4499622997172477,0.060578099357925304,23.388095864068482,481,1.3120074131265065,55.71725571725572,3.4499622997172477,0.06674556601101436,32.0730099371216,True,
1.2036756271246465,3.5,14,25,10,1.2,45,True,True,True,102,1.2036756271246465,61.76470588235294,0.7315928369462771,0.07930540790078908,5.370357725011597,102,1.3005340304780393,61.76470588235294,0.7315928369462771,0.08533496981684548,7.3714893600779305,True,
1.1950121696621068,5.0,22,15,15,1.4,50,False,True,True,695,1.1950121696621068,55.539568345323744,4.984872761545711,0.04828299776568774,25.288375173353877,695,1.2724550037189029,55.25179856115108,4.984872761545711,0.055589978629539044,33.94297883332998,True,
1.1904811411672769,5.0,16,35,35,1.7,45,False,True,False,227,1.1904811411672769,54.18502202643172,1.628152686145146,0.04348676401800819,7.063597736650397,227,1.2475681746306486,54.18502202643172,1.628152686145146,0.0285258067470019,8.77119937167247,True,
1.1904811411672769,5.0,16,35,45,1.9,45,False,True,False,227,1.1904811411672769,54.18502202643172,1.628152686145146,0.04348676401800819,7.063597736650397,227,1.2475681746306486,54.18502202643172,1.628152686145146,0.0285258067470019,8.77119937167247,True,
1.1884536484636512,4.0,16,35,40,1.6,45,False,True,False,227,1.1884536484636512,54.18502202643172,1.628152686145146,0.04348676401800792,8.586840738484272,227,1.2585477081714653,54.18502202643172,1.628152686145146,0.028525806747000636,11.155372584127944,True,
1.1884536484636512,4.0,16,35,40,1.5,50,False,True,False,227,1.1884536484636512,54.18502202643172,1.628152686145146,0.04348676401800792,8.586840738484272,227,1.2585477081714653,54.18502202643172,1.628152686145146,0.028525806747000636,11.155372584127944,True,
1.1789208132114875,3.5,16,35,35,1.7,25,False,True,False,227,1.1789208132114875,54.18502202643172,1.628152686145146,0.04348676401800776,9.051090826201131,227,1.2423028654410497,54.18502202643172,1.628152686145146,0.028525806747001378,11.638700684755461,True,
1.1789208132114875,3.5,16,35,20,1.7,45,False,True,False,227,1.1789208132114875,54.18502202643172,1.628152686145146,0.04348676401800776,9.051090826201131,227,1.2423028654410497,54.18502202643172,1.628152686145146,0.028525806747001378,11.638700684755461,True,
1.1772293336068,3.5,16,30,35,1.7,45,False,True,True,304,1.1772293336068,55.92105263157895,2.1804335532516492,0.04493136204602974,12.939528191434016,304,1.245704814349647,55.26315789473685,2.1804335532516492,0.041000397479722325,17.075443123705185,True,
1.1747719285306508,2.0,14,35,15,1.0,30,False,True,False,279,1.1747719285306508,54.48028673835126,2.0011215834118756,0.044667081367236995,15.877294730951974,279,1.2022555185653458,54.48028673835126,2.0011215834118756,0.03606146097789753,17.441632285872142,True,
1.1723395762151005,4.0,16,30,35,1.8,40,False,True,True,302,1.1723395762151005,55.29801324503312,2.1660885956644673,0.0484074532527959,11.182059249743409,302,1.2566473181002136,54.63576158940398,2.1660885956644673,0.04679967168070287,15.77808317987055,True,
1.1721461577363539,3.0,14,20,20,1.6,50,False,True,True,633,1.1721461577363539,54.66034755134282,4.5401790763430725,0.042171889100128056,31.671412405955518,633,1.2581130493923616,54.34439178515008,4.5401790763430725,0.04860018729717671,45.91059452638356,True,
1.172006178695491,1.5,14,35,20,1.3,45,False,True,False,278,1.172006178695491,54.67625899280576,1.9939491046182845,0.04770418243294721,16.465796757042657,278,1.1570611195208953,54.67625899280576,1.9939491046182845,0.03802149374199234,14.492560860835473,True,
1.1679604303108968,4.0,14,20,15,1.6,50,False,True,True,633,1.1679604303108968,54.66034755134282,4.5401790763430725,0.04217188910012802,24.557355906902913,633,1.2561080686237323,54.34439178515008,4.5401790763430725,0.04860018729717628,36.108213564393765,True,
1.1678762298062915,3.5,24,25,20,1.1,50,False,True,True,281,1.1678762298062915,54.804270462633454,2.0154665409990575,0.04654948049165969,12.088404788090752,281,1.246393628870898,54.804270462633454,2.0154665409990575,0.050567398193227246,16.83718745661336,True,
1.1603778473032968,1.0,16,35,40,1.5,50,False,True,False,225,1.1603778473032968,54.666666666666664,1.6138077285579642,0.04777513341294843,11.30889309776588,225,1.1212109980245488,54.22222222222223,1.6138077285579642,0.030837629517638233,8.335688242554406,True,
1.1553699443877434,5.0,16,30,40,1.6,40,False,True,True,302,1.1553699443877434,55.29801324503312,2.1660885956644673,0.048407453252796294,8.251290873218554,302,1.2365929807105331,54.63576158940398,2.1660885956644673,0.04679967168070324,11.82311630361752,True,
1.1544712997552737,4.0,18,15,35,1.7,40,False,True,True,780,1.1544712997552737,55.51282051282052,5.594533459000942,0.04109372847962142,28.994418056482857,780,1.2525017722502396,55.00000000000001,5.594533459000942,0.05246548087305414,45.74988913620804,True,
1.1496710352320554,2.0,14,25,20,1.9,50,False,True,True,485,1.1496710352320554,54.84536082474227,3.4786522148916115,0.04714793938922082,26.11665523110768,485,1.2292433022207603,54.63917525773196,3.4786522148916115,0.052211204214713355,38.709556720717714,True,
1.1496710352320554,2.0,14,25,15,1.9,50,False,True,True,485,1.1496710352320554,54.84536082474227,3.4786522148916115,0.04714793938922082,26.11665523110768,485,1.2292433022207603,54.63917525773196,3.4786522148916115,0.052211204214713355,38.709556720717714,True,
