fitness,param_sl_atr,param_adx_period,param_adx_threshold,param_volume_lookback,param_volume_mult,param_regime_lookback,param_use_volume_filter,param_use_trend_filter,param_use_regime_filter,m1_oos1_n_trades,m1_oos1_profit_factor,m1_oos1_win_rate,m1_oos1_trades_per_month,m1_oos1_avg_trade_pct,m1_oos1_total_return_pct,m1_oos2_n_trades,m1_oos2_profit_factor,m1_oos2_win_rate,m1_oos2_trades_per_month,m1_oos2_avg_trade_pct,m1_oos2_total_return_pct,pass,fail_reason
1.1884536484636512,4.0,16,35,40,1.6,45,False,True,False,150,2.599843988148427,67.33333333333333,1.7934014139827181,0.28513927518361804,25.383738913223088,84,0.7913545697153698,52.38095238095239,1.5067530936947555,-0.14240855522949053,-6.466553720312622,False,m1_oos2 profit_factor=0.7914 <= 1.1
1.1884536484636512,4.0,16,35,40,1.5,50,False,True,False,150,2.599843988148427,67.33333333333333,1.7934014139827181,0.28513927518361804,25.383738913223088,84,0.7913545697153698,52.38095238095239,1.5067530936947555,-0.14240855522949053,-6.466553720312622,False,m1_oos2 profit_factor=0.7914 <= 1.1
1.1789208132114875,3.5,16,35,35,1.7,25,False,True,False,150,2.6355625871601833,67.33333333333333,1.7934014139827181,0.28513927518361876,29.663060267715764,84,0.827734318005311,52.38095238095239,1.5067530936947555,-0.14240855522949092,-5.584987460037865,False,m1_oos2 profit_factor=0.8277 <= 1.1
1.1789208132114875,3.5,16,35,20,1.7,45,False,True,False,150,2.6355625871601833,67.33333333333333,1.7934014139827181,0.28513927518361876,29.663060267715764,84,0.827734318005311,52.38095238095239,1.5067530936947555,-0.14240855522949092,-5.584987460037865,False,m1_oos2 profit_factor=0.8277 <= 1.1
1.1772293336068,3.5,16,30,35,1.7,45,False,True,True,221,1.5385793183570677,60.633484162895925,2.6422780832678714,0.17203885107528616,21.900945580510907,110,0.8490361623893423,45.45454545454545,1.973129051266942,-0.080869075228804,-6.017148669301123,False,m1_oos2 profit_factor=0.8490 <= 1.1
1.1747719285306508,2.0,14,35,15,1.0,30,False,True,False,190,1.9361846442114865,63.68421052631579,2.271641791044776,0.23175368166827,48.71111678249859,110,0.8743119995003034,49.09090909090909,1.973129051266942,-0.08283668436790961,-5.953319733111093,False,m1_oos2 profit_factor=0.8743 <= 1.1
1.1723395762151005,4.0,16,30,35,1.8,40,False,True,True,218,1.5446739708947665,61.46788990825688,2.606410054988217,0.18487820396458313,19.050510879975725,111,0.9003766267933311,46.846846846846844,1.9910665880966414,-0.05180173187776823,-3.661595101411349,False,m1_oos2 profit_factor=0.9004 <= 1.1
1.1721461577363539,3.0,14,20,20,1.6,50,False,True,True,438,1.1889937768217052,56.62100456621004,5.236732128829537,0.04287885409839998,22.803860925544267,228,1.0834788663733452,48.68421052631579,4.0897583971714795,0.006204737245060221,6.140253821427948,False,m1_oos2 profit_factor=1.0835 <= 1.1
1.172006178695491,1.5,14,35,20,1.3,45,False,True,False,190,1.884251613215243,63.68421052631579,2.271641791044776,0.23175368166827004,52.5625242623763,110,0.931197546476835,49.09090909090909,1.973129051266942,-0.08283668436791052,-3.2784362542607144,False,m1_oos2 profit_factor=0.9312 <= 1.1
1.1679604303108968,4.0,14,20,15,1.6,50,False,True,True,438,1.1700790469777025,56.62100456621004,5.236732128829537,0.04287885409839947,15.495469792157678,228,1.029833944677443,48.68421052631579,4.0897583971714795,0.006204737245059809,1.8832131583334215,False,m1_oos2 profit_factor=1.0298 <= 1.1
1.1678762298062915,3.5,24,25,20,1.1,50,False,True,True,188,1.7327406799258327,61.702127659574465,2.2477297721916734,0.21351347071195398,22.898803297835777,89,0.9337026533861593,46.06741573033708,1.596440777843253,0.0036702560745973693,-2.091773325221143,False,m1_oos2 profit_factor=0.9337 <= 1.1
1.1603778473032968,1.0,16,35,40,1.5,50,False,True,False,147,2.4430614224209433,67.3469387755102,1.7575333857030637,0.2953924468891924,54.31194384417969,80,0.7104366954146113,52.5,1.4350029463759577,-0.22381928329355008,-11.726197950155447,False,m1_oos2 profit_factor=0.7104 <= 1.1
1.1553699443877434,5.0,16,30,40,1.6,40,False,True,True,218,1.5523974593841492,61.46788990825688,2.606410054988217,0.18487820396458277,15.106799999999918,111,0.920439693470451,46.846846846846844,1.9910665880966414,-0.05180173187776854,-2.4604596204861626,False,m1_oos2 profit_factor=0.9204 <= 1.1
1.1544712997552737,4.0,18,15,35,1.7,40,False,True,True,500,1.2924386150395089,57.599999999999994,5.978004713275727,0.0883616483271647,29.527357432979322,277,1.0403094365565138,52.34657039711191,4.968697701826754,0.0008927503489048518,3.053913131269476,False,m1_oos2 profit_factor=1.0403 <= 1.1
1.1496710352320554,2.0,14,25,20,1.9,50,False,True,True,358,1.3038351399102623,56.98324022346368,4.28025137470542,0.073732095122359,38.77379497279036,171,1.094583686427116,48.53801169590643,3.0673187978786096,0.02708427867643278,6.132264102156314,False,m1_oos2 profit_factor=1.0946 <= 1.1
1.1496710352320554,2.0,14,25,15,1.9,50,False,True,True,358,1.3038351399102623,56.98324022346368,4.28025137470542,0.073732095122359,38.77379497279036,171,1.094583686427116,48.53801169590643,3.0673187978786096,0.02708427867643278,6.132264102156314,False,m1_oos2 profit_factor=1.0946 <= 1.1
1.1404473408599491,3.5,16,35,25,1.8,50,False,False,True,558,1.3876447784543695,58.602150537634415,6.671453260015712,0.13102545489057588,50.224357817427226,286,1.0942573273408343,51.39860139860139,5.130135533294049,0.0023520421278972,8.032164110179467,False,m1_oos2 profit_factor=1.0943 <= 1.1
1.1381053357351112,4.0,14,30,15,1.6,50,False,False,True,558,1.395933998960627,58.602150537634415,6.671453260015712,0.13102545489057574,44.64792422758945,286,1.081381361530443,51.39860139860139,5.130135533294049,0.00235204212789769,6.388757164744914,False,m1_oos2 profit_factor=1.0814 <= 1.1
1.1333376274373579,4.5,22,25,20,1.6,50,False,False,True,558,1.3885709853755424,58.602150537634415,6.671453260015712,0.13102545489057557,38.576899999999966,286,1.0869271519172634,51.39860139860139,5.130135533294049,0.0023520421278976225,6.067330460094624,False,m1_oos2 profit_factor=1.0869 <= 1.1
1.131880610739355,3.5,24,30,20,1.9,20,False,True,True,100,2.04849278594616,64.0,1.1956009426551455,0.2322788068888321,15.363056295967745,49,0.9657436429824949,53.06122448979592,0.8789393046552741,-0.023630997474718682,-0.6382581686838511,False,m1_oos2 profit_factor=0.9657 <= 1.1
1.1313270199574363,5.0,22,15,20,1.6,50,False,False,True,558,1.3851215708818339,58.602150537634415,6.671453260015712,0.13102545489057585,34.03250000000004,286,1.0697612926207256,51.39860139860139,5.130135533294049,0.002352042127897511,4.520147950459153,False,m1_oos2 profit_factor=1.0698 <= 1.1
1.1313270199574363,5.0,14,35,20,1.8,50,False,False,True,558,1.3851215708818339,58.602150537634415,6.671453260015712,0.13102545489057585,34.03250000000004,286,1.0697612926207256,51.39860139860139,5.130135533294049,0.002352042127897511,4.520147950459153,False,m1_oos2 profit_factor=1.0698 <= 1.1
1.1313270199574363,5.0,22,35,40,1.1,50,False,False,True,558,1.3851215708818339,58.602150537634415,6.671453260015712,0.13102545489057585,34.03250000000004,286,1.0697612926207256,51.39860139860139,5.130135533294049,0.002352042127897511,4.520147950459153,False,m1_oos2 profit_factor=1.0698 <= 1.1
1.1313270199574363,5.0,16,35,20,1.7,50,False,False,True,558,1.3851215708818339,58.602150537634415,6.671453260015712,0.13102545489057585,34.03250000000004,286,1.0697612926207256,51.39860139860139,5.130135533294049,0.002352042127897511,4.520147950459153,False,m1_oos2 profit_factor=1.0698 <= 1.1
1.128992817061698,4.0,14,30,50,1.2,50,False,True,True,264,1.2384070232288031,57.95454545454546,3.156386488609584,0.06348705305158509,12.608155569799774,123,1.2037667406222876,47.96747967479675,2.206317030053035,0.103374034077416,6.833792835059134,True,
1.1273547556485992,4.0,18,30,35,1.7,40,False,True,True,177,1.577810177046762,63.2768361581921,2.1162136684996073,0.17809034714512914,16.395610941190462,88,0.7877553996891216,47.72727272727273,1.5785032410135535,-0.08026187377191688,-6.329784116823102,False,m1_oos2 profit_factor=0.7878 <= 1.1
