fitness,param_sl_atr,param_adx_period,param_adx_threshold,param_volume_lookback,param_volume_mult,param_regime_lookback,param_use_volume_filter,param_use_trend_filter,param_use_regime_filter,htf_train_n_trades,htf_train_profit_factor,htf_train_win_rate,htf_train_trades_per_month,htf_train_avg_trade_pct,htf_train_total_return_pct,pass,fail_reason
3.1499091948612588,2.0,16,35,40,1.7,45,True,True,True,20,3.1499091948612588,75.0,0.14344957587181903,0.43932903866128103,8.151681861370074,False,htf_train n_trades=20.0000 <= 100.0
3.1499091948612588,2.0,16,35,35,1.6,45,True,True,True,20,3.1499091948612588,75.0,0.14344957587181903,0.43932903866128103,8.151681861370074,False,htf_train n_trades=20.0000 <= 100.0
3.149849745034112,3.5,16,35,40,1.7,50,True,True,True,20,3.149849745034112,75.0,0.14344957587181903,0.4393290386612816,6.470917669486095,False,htf_train n_trades=20.0000 <= 100.0
3.149849745034112,3.5,16,35,35,1.6,45,True,True,True,20,3.149849745034112,75.0,0.14344957587181903,0.4393290386612816,6.470917669486095,False,htf_train n_trades=20.0000 <= 100.0
3.149849745034112,3.5,16,35,40,1.7,45,True,True,True,20,3.149849745034112,75.0,0.14344957587181903,0.4393290386612816,6.470917669486095,False,htf_train n_trades=20.0000 <= 100.0
3.149849745034112,3.5,16,35,40,1.6,45,True,True,True,20,3.149849745034112,75.0,0.14344957587181903,0.4393290386612816,6.470917669486095,False,htf_train n_trades=20.0000 <= 100.0
3.1488858201449794,4.0,16,35,35,1.6,50,True,True,False,22,3.1488858201449794,72.72727272727273,0.15779453345900094,0.39450825194735145,5.782686584329801,False,htf_train n_trades=22.0000 <= 100.0
3.1488858201449794,4.0,16,35,40,1.6,45,True,True,False,22,3.1488858201449794,72.72727272727273,0.15779453345900094,0.39450825194735145,5.782686584329801,False,htf_train n_trades=22.0000 <= 100.0
3.1488858201449794,4.0,16,35,35,1.6,45,True,True,False,22,3.1488858201449794,72.72727272727273,0.15779453345900094,0.39450825194735145,5.782686584329801,False,htf_train n_trades=22.0000 <= 100.0
3.1483633166287297,4.0,16,35,15,1.5,50,True,True,True,21,3.1483633166287297,71.42857142857143,0.15062205466540998,0.4466082184139037,6.093127963298231,False,htf_train n_trades=21.0000 <= 100.0
3.1219868011608782,1.0,16,35,40,1.6,45,True,True,False,22,3.1219868011608782,72.72727272727273,0.15779453345900094,0.39450825194734956,8.736595905420403,False,htf_train n_trades=22.0000 <= 100.0
3.1219868011608782,1.0,16,35,40,1.6,50,True,True,False,22,3.1219868011608782,72.72727272727273,0.15779453345900094,0.39450825194734956,8.736595905420403,False,htf_train n_trades=22.0000 <= 100.0
